r;364423871;95038;218020;42;25
r;364423870;95038;334188;42;25
r;364423847;95038;139785;41;25
r;364423846;95038;146274;15;25
r;364423845;95038;222862;15;25
r;364423844;95038;184166;15;25
r;364423843;95038;203420;15;25
r;364423842;95038;81928;15;25
r;364423823;95038;11125210;42;25
r;364423822;95038;1813398;41;25
r;364423818;95038;268774;41;25
r;364423817;95038;256989;42;25
r;364423815;95038;249868;42;25
r;364423813;95038;240128;42;25
r;364423807;95038;142982;41;25
r;364423798;95038;71654;42;25
r;364423796;95038;70406;41;25
r;364423795;95038;69538;41;25
r;364423790;95038;33645;42;25
r;364423789;95038;12655;42;25
r;364423784;95038;14304666;41;25
r;364423782;95038;142982;42;25
r;364423781;95038;14300618;41;25
r;364423741;95038;373450;28;25
r;364423739;95038;241325;15;25
r;364423731;95038;156055;15;25
r;364423727;95038;136559;28;25
r;364423725;95038;132300;28;25
r;364423723;95038;116599;15;25
r;364423721;95038;115073;15;25
r;364423719;95038;107233;15;25
r;364423714;95038;94262;15;25
r;364423710;95038;76169;28;25
r;364423708;95038;54126;15;25
r;364423706;95038;46543;42;25
r;364423703;95038;35035;15;25
r;364423701;95038;32667;28;25
r;364423695;95038;12078;15;25
r;364193334;95038;14304613;1;25
r;364193218;95038;14304612;1;25
r;364193212;95038;43729;35;25
r;364193095;95038;14304604;1;25
r;364096307;95038;143757;35;25
r;364096304;95038;51589;35;25
r;364096303;95038;49615;35;25
r;323939526;95038;9507;6;25
r;309935440;95038;1783501;5;25
r;309935438;95038;1783500;5;25
r;309731004;95038;598134;5;25
r;364423832;95038;113771;0;23
r;815669;95038;142400;0;23
r;364423900;95038;217714;13;22
r;364423893;95038;123761;13;22
r;364423889;95038;118790;13;22
r;364423886;95038;86573;13;22
r;364423882;95038;59151;13;22
r;364423869;95038;261311;13;22
r;364423868;95038;106042;13;22
r;364423867;95038;47417;13;22
r;364423866;95038;6070;13;22
r;364423824;95038;76248;13;22
r;364423821;95038;1649929;13;22
r;364423811;95038;227050;13;22
r;364423810;95038;159450;13;22
r;364423809;95038;155574;13;22
r;364423808;95038;145891;13;22
r;364423805;95038;126350;13;22
r;364423800;95038;81249;13;22
r;364423788;95038;11959;13;22
r;364423780;95038;261210;13;22
r;364423779;95038;54496;13;22
r;364423778;95038;153335;13;22
r;364423777;95038;218639;13;22
r;54932776;95038;82113;0;22
r;54932774;95038;146272;0;22
r;12281368;95038;128674;0;22
r;815667;95038;117650;0;22
r;79543556;95038;18995;0;21
r;71491583;95038;2434511;0;21
r;416504837;95038;15444355;5;20
r;416504809;95038;15663653;5;20
r;416504780;95038;15663654;5;20
r;416504758;95038;15663651;5;20
r;416504733;95038;15663652;5;20
r;416500022;95038;15687493;5;20
r;416500013;95038;15438079;5;20
r;416499984;95038;15221489;5;20
r;416486592;95038;2950673;5;20
r;416486567;95038;15703114;5;20
r;416469103;95038;15438076;5;20
r;416469081;95038;15438077;5;20
r;416469055;95038;49342;5;20
r;416435647;95038;1966019;5;20
r;416414613;95038;15703113;5;20
r;416406095;95038;196442;5;20
r;416405286;95038;15233460;5;20
r;364423827;95038;19796;0;19
r;364423814;95038;245419;0;16
r;364423760;95038;142787;0;16
r;364423755;95038;67906;5;16
r;364423754;95038;74163;5;16
r;364423906;95038;14300605;16;15
r;364423905;95038;14300603;16;15
r;364423904;95038;3404745;5;15
r;364423903;95038;250407;5;15
r;364423902;95038;242207;31;15
r;364423901;95038;238800;5;15
r;364423899;95038;214276;31;15
r;364423898;95038;214275;3;15
r;364423896;95038;152067;0;15
r;364423895;95038;143757;3;15
r;364423894;95038;140039;16;15
r;364423892;95038;122875;5;15
r;364423891;95038;121002;0;15
r;364423890;95038;119014;31;15
r;364423888;95038;108504;5;15
r;364423887;95038;108504;0;15
r;364423885;95038;69680;5;15
r;364423884;95038;69680;0;15
r;364423883;95038;68460;5;15
r;364423881;95038;57139;5;15
r;364423880;95038;57139;0;15
r;364423879;95038;45455;31;15
r;364423878;95038;36327;31;15
r;364423876;95038;16033;31;15
r;364423874;95038;145252;0;15
r;364423873;95038;227776;0;15
r;364423865;95038;238065;5;15
r;364423864;95038;80321;0;15
